"year","month","month_name","day","date","day_of_week","day_of_week_num","carrier","airline_name","flight","tailnum","origin","dest","sched_dep_time","dep_time","dep_delay","dep_delay_flag","sched_arr_time","arr_time","arr_delay","arr_delay_flag","on_time","delay_category","air_time","distance","time_period"
2020,9,"Sep",17,2020-09-17,"Thu",5,"F9","Frontier","F91509","N18672","DCA","LGA",1834,1836,2,0,1884,1884,0,0,1,"Early/On-Time",50,402,"Evening"
2019,9,"Sep",19,2019-09-19,"Thu",5,"AA","American","AA6349","N47227","DCA","MCO",1015,1158,103,1,1133,1275,102,1,0,"Severely Delayed",78,624,"Morning"
2019,5,"May",10,2019-05-10,"Fri",6,"NK","Spirit","NK6355","N64607","DCA","SFO",925,883,-2,0,1370,1373,3,0,1,"Slightly Late",285,2277,"Morning"
2022,10,"Oct",27,2022-10-27,"Thu",5,"NK","Spirit","NK1841","N54939","DCA","PDX",1959,1965,6,0,2399,2358,-1,0,1,"Early/On-Time",280,2242,"Evening"
2021,10,"Oct",23,2021-10-23,"Sat",7,"UA","United","UA7131","N25370","DCA","MCI",832,791,-1,0,972,924,-8,0,1,"Early/On-Time",100,799,"Early Morning"
2020,1,"Jan",9,2020-01-09,"Thu",5,"AA","American","AA8645","N82290","DCA","TPA",1358,1314,-4,0,1386,1342,-4,0,1,"Early/On-Time",28,225,"Afternoon"
2021,10,"Oct",11,2021-10-11,"Mon",2,"DL","Delta","DL4406","N84898","DCA","JFK",2003,1961,-2,0,2058,2007,-11,0,1,"Early/On-Time",55,441,"Evening"
2024,3,"Mar",8,2024-03-08,"Fri",6,"DL","Delta","DL1353","N42619","DCA","CMH",913,933,20,1,947,966,19,1,0,"Delayed",34,275,"Morning"
2020,10,"Oct",11,2020-10-11,"Sun",1,"F9","Frontier","F93620","N93858","DCA","OMA",1334,1334,0,0,1434,1391,-3,0,1,"Early/On-Time",60,479,"Afternoon"
2024,9,"Sep",18,2024-09-18,"Wed",4,"UA","United","UA5717","N72017","DCA","RDU",1236,1193,-3,0,1271,1229,-2,0,1,"Early/On-Time",35,280,"Afternoon"
2020,5,"May",31,2020-05-31,"Sun",1,"UA","United","UA8925","N60315","DCA","TPA",1106,1065,-1,0,1214,1169,-5,0,1,"Early/On-Time",68,546,"Morning"
2019,2,"Feb",2,2019-02-02,"Sat",7,"AA","American","AA5885","N87260","DCA","FLL",1228,1328,60,1,1266,1324,58,1,0,"Delayed",38,304,"Afternoon"
2021,8,"Aug",2,2021-08-02,"Mon",2,"WN","Southwest","WN9374","N23206","DCA","BOI",604,611,7,0,654,655,1,0,1,"Slightly Late",50,404,"Early Morning"
2019,4,"Apr",13,2019-04-13,"Sat",7,"AA","American","AA791","N70065","DCA","GEG",1810,1769,-1,0,1867,1879,12,0,1,"Slightly Late",57,457,"Evening"
2022,6,"Jun",5,2022-06-05,"Sun",1,"NK","Spirit","NK4432","N64186","DCA","DFW",927,932,5,0,1142,1151,9,0,1,"Slightly Late",135,1080,"Morning"
2024,11,"Nov",26,2024-11-26,"Tue",3,"WN","Southwest","WN4566","N97459","DCA","BOI",1927,1883,-4,0,1971,1922,-9,0,1,"Early/On-Time",44,355,"Evening"
2022,9,"Sep",14,2022-09-14,"Wed",4,"AA","American","AA1676","N75372","DCA","MEM",734,692,-2,0,853,807,-6,0,1,"Early/On-Time",79,629,"Early Morning"
2023,8,"Aug",20,2023-08-20,"Sun",1,"AA","American","AA3437","N20995","DCA","GEG",1044,1001,-3,0,1072,1031,-1,0,1,"Early/On-Time",28,221,"Morning"
2019,3,"Mar",17,2019-03-17,"Sun",1,"DL","Delta","DL5197","N81098","DCA","BOI",1141,1096,-5,0,1261,1213,-8,0,1,"Early/On-Time",80,636,"Morning"
2023,12,"Dec",6,2023-12-06,"Wed",4,"UA","United","UA8637","N83513","DCA","GEG",1815,1820,5,0,1922,1879,-3,0,1,"Early/On-Time",67,536,"Evening"
2023,2,"Feb",23,2023-02-23,"Thu",5,"DL","Delta","DL9371","N11061","DCA","DAL",1142,1148,6,0,1261,1218,-3,0,1,"Early/On-Time",79,629,"Morning"
2019,1,"Jan",16,2019-01-16,"Wed",4,"WN","Southwest","WN5753","N80280","DCA","DAL",1045,1048,3,0,1079,1081,2,0,1,"Slightly Late",34,273,"Morning"
2022,10,"Oct",12,2022-10-12,"Wed",4,"UA","United","UA1227","N83766","DCA","IAH",948,951,3,0,1159,1165,6,0,1,"Slightly Late",131,1051,"Morning"
2022,9,"Sep",10,2022-09-10,"Sat",7,"UA","United","UA3406","N52331","DCA","CMH",1611,1566,-5,0,1636,1588,-8,0,1,"Early/On-Time",25,202,"Afternoon"
2021,9,"Sep",14,2021-09-14,"Tue",3,"AA","American","AA5471","N91415","DCA","STL",1437,1393,-4,0,1483,1430,-13,0,1,"Early/On-Time",46,371,"Afternoon"
2019,3,"Mar",23,2019-03-23,"Sat",7,"B6","JetBlue","B64371","N14169","DCA","SAN",1124,1129,5,0,1582,1540,-2,0,1,"Early/On-Time",298,2381,"Morning"
2024,4,"Apr",27,2024-04-27,"Sat",7,"DL","Delta","DL4289","N87810","DCA","IAH",1430,1433,3,0,1661,1666,5,0,1,"Slightly Late",151,1211,"Afternoon"
2024,3,"Mar",19,2024-03-19,"Tue",3,"B6","JetBlue","B6404","N98872","DCA","SFO",738,697,-1,0,1242,1199,-3,0,1,"Early/On-Time",304,2433,"Early Morning"
2021,7,"Jul",2,2021-07-02,"Fri",6,"B6","JetBlue","B64991","N21198","DCA","GEG",847,802,-5,0,952,898,-14,0,1,"Early/On-Time",65,523,"Early Morning"
2019,11,"Nov",21,2019-11-21,"Thu",5,"B6","JetBlue","B62043","N87430","DCA","DTW",1233,1233,0,0,1287,1292,5,0,1,"Slightly Late",54,428,"Afternoon"
2023,7,"Jul",4,2023-07-04,"Tue",3,"UA","United","UA8134","N45070","DCA","SYR",1935,1975,40,1,2074,2111,37,1,0,"Delayed",99,790,"Evening"
2019,5,"May",29,2019-05-29,"Wed",4,"NK","Spirit","NK9637","N17005","DCA","CMH",1103,1059,-4,0,1158,1164,6,0,1,"Slightly Late",55,439,"Morning"
2023,5,"May",12,2023-05-12,"Fri",6,"UA","United","UA128","N87932","DCA","SAT",1932,1955,23,1,1988,2004,16,1,0,"Delayed",56,447,"Evening"
2019,4,"Apr",10,2019-04-10,"Wed",4,"DL","Delta","DL8358","N93955","DCA","LAS",836,792,-4,0,1162,1118,-4,0,1,"Early/On-Time",206,1648,"Early Morning"
2021,9,"Sep",25,2021-09-25,"Sat",7,"AA","American","AA7232","N91598","DCA","MEM",1757,1758,1,0,1798,1753,-5,0,1,"Early/On-Time",41,330,"Evening"
2019,4,"Apr",1,2019-04-01,"Mon",2,"UA","United","UA8383","N37060","DCA","DAL",1713,1672,-1,0,1745,1703,-2,0,1,"Early/On-Time",32,259,"Evening"
2021,12,"Dec",13,2021-12-13,"Mon",2,"UA","United","UA1463","N57580","DCA","BNA",952,910,-2,0,1004,1004,0,0,1,"Early/On-Time",52,414,"Morning"
2020,12,"Dec",20,2020-12-20,"Sun",1,"DL","Delta","DL3983","N94110","DCA","RSW",1934,1890,-4,0,1981,1981,0,0,1,"Early/On-Time",47,373,"Evening"
2023,11,"Nov",17,2023-11-17,"Fri",6,"DL","Delta","DL610","N26778","DCA","BNA",1253,1255,2,0,1290,1249,-1,0,1,"Early/On-Time",37,293,"Afternoon"
2024,10,"Oct",8,2024-10-08,"Tue",3,"B6","JetBlue","B65631","N51078","DCA","LGA",954,967,13,0,1005,1017,12,0,1,"Slightly Late",51,410,"Morning"
2022,8,"Aug",1,2022-08-01,"Mon",2,"UA","United","UA2783","N96190","DCA","EWR",1358,1393,35,1,1476,1500,24,1,0,"Delayed",78,620,"Afternoon"
2023,7,"Jul",2,2023-07-02,"Sun",1,"DL","Delta","DL7783","N57037","DCA","DFW",738,694,-4,0,974,930,-4,0,1,"Early/On-Time",156,1248,"Early Morning"
2024,2,"Feb",20,2024-02-20,"Tue",3,"B6","JetBlue","B67620","N80019","DCA","PDX",1209,1214,5,0,1662,1667,5,0,1,"Slightly Late",293,2345,"Afternoon"
2020,3,"Mar",2,2020-03-02,"Mon",2,"AA","American","AA3969","N71020","DCA","OMA",1109,1118,9,0,1165,1181,16,1,0,"Delayed",56,452,"Morning"
2022,2,"Feb",9,2022-02-09,"Wed",4,"NK","Spirit","NK5067","N23285","DCA","DFW",1402,1405,3,0,1638,1638,0,0,1,"Early/On-Time",156,1248,"Afternoon"
2020,8,"Aug",6,2020-08-06,"Thu",5,"UA","United","UA7418","N80088","DCA","MSP",822,780,-2,0,1031,985,-6,0,1,"Early/On-Time",129,1034,"Early Morning"
2021,8,"Aug",8,2021-08-08,"Sun",1,"DL","Delta","DL7090","N50761","DCA","BOS",843,844,1,0,894,898,4,0,1,"Slightly Late",51,406,"Early Morning"
2023,3,"Mar",17,2023-03-17,"Fri",6,"DL","Delta","DL5576","N24509","DCA","MSP",1225,1225,0,0,1449,1451,2,0,1,"Slightly Late",144,1151,"Afternoon"
2022,3,"Mar",10,2022-03-10,"Thu",5,"AA","American","AA4519","N97883","DCA","SAN",850,857,7,0,1293,1294,1,0,1,"Slightly Late",283,2261,"Early Morning"
2023,10,"Oct",8,2023-10-08,"Sun",1,"AA","American","AA3749","N39583","DCA","OMA",750,707,-3,0,881,833,-8,0,1,"Early/On-Time",91,731,"Early Morning"
2024,4,"Apr",8,2024-04-08,"Mon",2,"DL","Delta","DL5501","N76085","DCA","DTW",1254,1257,3,0,1357,1361,4,0,1,"Slightly Late",63,502,"Afternoon"
2019,11,"Nov",7,2019-11-07,"Thu",5,"UA","United","UA6468","N77878","DCA","CLE",2017,2045,28,1,2120,2150,30,1,0,"Delayed",63,502,"Evening"
2020,4,"Apr",18,2020-04-18,"Sat",7,"B6","JetBlue","B68515","N34752","DCA","DEN",817,817,0,0,1147,1105,-2,0,1,"Early/On-Time",210,1676,"Early Morning"
2023,4,"Apr",27,2023-04-27,"Thu",5,"WN","Southwest","WN3906","N61962","DCA","ORD",1636,1589,-7,0,1848,1806,-2,0,1,"Early/On-Time",132,1057,"Afternoon"
2024,9,"Sep",20,2024-09-20,"Fri",6,"DL","Delta","DL9238","N97261","DCA","GSP",1857,1859,2,0,1982,1982,0,0,1,"Early/On-Time",85,681,"Evening"
2021,1,"Jan",29,2021-01-29,"Fri",6,"DL","Delta","DL7761","N41960","DCA","HOU",1459,1415,-4,0,1569,1570,1,0,1,"Slightly Late",70,562,"Afternoon"
2024,3,"Mar",3,2024-03-03,"Sun",1,"DL","Delta","DL5327","N62758","DCA","ATL",745,757,12,0,862,874,12,0,1,"Slightly Late",77,617,"Early Morning"
2022,6,"Jun",28,2022-06-28,"Tue",3,"AA","American","AA8598","N84909","DCA","SEA",2206,2208,2,0,2648,2651,3,0,1,"Slightly Late",282,2258,"Night"
2023,8,"Aug",20,2023-08-20,"Sun",1,"DL","Delta","DL7008","N94318","DCA","MEM",1709,1713,4,0,1810,1816,6,0,1,"Slightly Late",61,487,"Evening"
2019,1,"Jan",25,2019-01-25,"Fri",6,"WN","Southwest","WN6777","N39914","DCA","BOS",600,646,46,1,652,697,45,1,0,"Delayed",52,420,"Early Morning"
2024,3,"Mar",21,2024-03-21,"Thu",5,"NK","Spirit","NK2051","N57516","DCA","CLE",718,677,-1,0,842,801,-1,0,1,"Early/On-Time",84,675,"Early Morning"
2020,12,"Dec",3,2020-12-03,"Thu",5,"AA","American","AA9058","N28241","DCA","MCI",1645,1698,53,1,1746,1796,50,1,0,"Delayed",61,490,"Afternoon"
2020,9,"Sep",14,2020-09-14,"Mon",2,"AA","American","AA8597","N46780","DCA","RDU",1611,1567,-4,0,1645,1602,-3,0,1,"Early/On-Time",34,272,"Afternoon"
2021,7,"Jul",31,2021-07-31,"Sat",7,"DL","Delta","DL646","N58120","DCA","CLT",1125,1125,0,0,1251,1210,-1,0,1,"Early/On-Time",86,684,"Morning"
2019,10,"Oct",26,2019-10-26,"Sat",7,"DL","Delta","DL9916","N28055","DCA","SEA",956,915,-1,0,1475,1433,-2,0,1,"Early/On-Time",319,2553,"Morning"
2021,1,"Jan",23,2021-01-23,"Sat",7,"DL","Delta","DL9495","N33842","DCA","GSP",819,830,11,0,950,966,16,1,0,"Delayed",91,730,"Early Morning"
2021,3,"Mar",9,2021-03-09,"Tue",3,"AA","American","AA240","N51907","DCA","EWR",1450,1453,3,0,1579,1582,3,0,1,"Slightly Late",89,714,"Afternoon"
2024,5,"May",7,2024-05-07,"Tue",3,"F9","Frontier","F94067","N35059","DCA","JAX",725,733,8,0,763,778,15,0,1,"Slightly Late",38,300,"Early Morning"
2022,6,"Jun",1,2022-06-01,"Wed",4,"F9","Frontier","F99216","N35444","DCA","SJC",1238,1249,11,0,1272,1282,10,0,1,"Slightly Late",34,274,"Afternoon"
2019,10,"Oct",21,2019-10-21,"Mon",2,"AA","American","AA9319","N31667","DCA","DTW",1201,1157,-4,0,1239,1196,-3,0,1,"Early/On-Time",38,302,"Afternoon"
2020,8,"Aug",29,2020-08-29,"Sat",7,"DL","Delta","DL4378","N67217","DCA","PHX",1839,1843,4,0,2167,2126,-1,0,1,"Early/On-Time",208,1660,"Evening"
2020,6,"Jun",29,2020-06-29,"Mon",2,"UA","United","UA2283","N29358","DCA","DAL",1348,1348,0,0,1466,1424,-2,0,1,"Early/On-Time",78,626,"Afternoon"
2020,4,"Apr",15,2020-04-15,"Wed",4,"B6","JetBlue","B67839","N46738","DCA","SAT",848,851,3,0,888,844,-4,0,1,"Early/On-Time",40,322,"Early Morning"
2019,9,"Sep",11,2019-09-11,"Wed",4,"UA","United","UA8629","N38251","DCA","AUS",635,635,0,0,767,767,0,0,1,"Early/On-Time",92,733,"Early Morning"
2019,9,"Sep",25,2019-09-25,"Wed",4,"UA","United","UA9793","N96992","DCA","SMF",1255,1208,-7,0,1306,1260,-6,0,1,"Early/On-Time",51,405,"Afternoon"
2020,10,"Oct",1,2020-10-01,"Thu",5,"UA","United","UA4490","N75874","DCA","CLT",2151,2110,-1,0,2276,2235,-1,0,1,"Early/On-Time",85,682,"Night"
2024,9,"Sep",19,2024-09-19,"Thu",5,"DL","Delta","DL5796","N34969","DCA","ELP",1214,1169,-5,0,1258,1258,0,0,1,"Early/On-Time",44,355,"Afternoon"
2020,10,"Oct",25,2020-10-25,"Sun",1,"NK","Spirit","NK7328","N33434","DCA","DEN",1638,1595,-3,0,1941,1899,-2,0,1,"Early/On-Time",183,1463,"Afternoon"
2022,1,"Jan",26,2022-01-26,"Wed",4,"DL","Delta","DL716","N97893","DCA","LAS",926,928,2,0,1249,1251,2,0,1,"Slightly Late",203,1627,"Morning"
2019,12,"Dec",14,2019-12-14,"Sat",7,"DL","Delta","DL9028","N88473","DCA","AUS",1857,1868,11,0,1975,1982,7,0,1,"Slightly Late",78,627,"Evening"
2024,11,"Nov",24,2024-11-24,"Sun",1,"AA","American","AA2009","N64470","DCA","SJC",2019,1974,-5,0,2131,2086,-5,0,1,"Early/On-Time",72,577,"Evening"
2019,11,"Nov",13,2019-11-13,"Wed",4,"DL","Delta","DL9441","N98374","DCA","CMH",652,790,98,1,779,909,90,1,0,"Severely Delayed",87,699,"Early Morning"
2024,6,"Jun",4,2024-06-04,"Tue",3,"NK","Spirit","NK6413","N72748","DCA","GSP",1144,1157,13,0,1248,1262,14,0,1,"Slightly Late",64,511,"Morning"
2019,6,"Jun",11,2019-06-11,"Tue",3,"B6","JetBlue","B66804","N17684","DCA","RDU",704,656,-8,0,736,685,-11,0,1,"Early/On-Time",32,259,"Early Morning"
2020,9,"Sep",27,2020-09-27,"Sun",1,"WN","Southwest","WN4590","N65840","DCA","TUS",1451,1408,-3,0,1587,1546,-1,0,1,"Early/On-Time",96,771,"Afternoon"
2023,6,"Jun",19,2023-06-19,"Mon",2,"DL","Delta","DL8304","N27140","DCA","BOS",738,743,5,0,793,802,9,0,1,"Slightly Late",55,440,"Early Morning"
2023,4,"Apr",17,2023-04-17,"Mon",2,"UA","United","UA898","N91948","DCA","SYR",914,915,1,0,964,919,-5,0,1,"Early/On-Time",50,397,"Morning"
2021,6,"Jun",24,2021-06-24,"Thu",5,"DL","Delta","DL6316","N85586","DCA","GEG",637,594,-3,0,738,745,7,0,1,"Slightly Late",61,491,"Early Morning"
2023,9,"Sep",17,2023-09-17,"Sun",1,"AA","American","AA5531","N79168","DCA","MCI",1423,1426,3,0,1478,1483,5,0,1,"Slightly Late",55,438,"Afternoon"
2021,3,"Mar",6,2021-03-06,"Sat",7,"DL","Delta","DL5221","N68699","DCA","TPA",1833,1787,-6,0,1891,1844,-7,0,1,"Early/On-Time",58,462,"Evening"
2022,3,"Mar",7,2022-03-07,"Mon",2,"DL","Delta","DL2126","N39181","DCA","HOU",1910,1911,1,0,2012,2016,4,0,1,"Slightly Late",62,498,"Evening"
2023,4,"Apr",20,2023-04-20,"Thu",5,"WN","Southwest","WN5936","N20068","DCA","IND",1534,1591,57,1,1588,1640,52,1,0,"Delayed",54,435,"Afternoon"
2019,3,"Mar",19,2019-03-19,"Tue",3,"B6","JetBlue","B68413","N81862","DCA","MIA",1656,1613,-3,0,1795,1751,-4,0,1,"Early/On-Time",99,793,"Afternoon"
2020,6,"Jun",9,2020-06-09,"Tue",3,"UA","United","UA4294","N44205","DCA","SEA",1420,1377,-3,0,1921,1879,-2,0,1,"Early/On-Time",301,2405,"Afternoon"
2022,2,"Feb",24,2022-02-24,"Thu",5,"AA","American","AA9751","N28158","DCA","BOS",801,755,-6,0,856,809,-7,0,1,"Early/On-Time",55,439,"Early Morning"
2023,4,"Apr",28,2023-04-28,"Fri",6,"AA","American","AA1960","N85256","DCA","PVD",2156,2114,-2,0,2268,2273,5,0,1,"Slightly Late",72,580,"Night"
2019,12,"Dec",3,2019-12-03,"Tue",3,"AA","American","AA9693","N52391","DCA","IAH",646,603,-3,0,802,806,4,0,1,"Slightly Late",116,928,"Early Morning"
2020,6,"Jun",22,2020-06-22,"Mon",2,"AA","American","AA5608","N42470","DCA","HOU",1812,1814,2,0,1939,1892,-7,0,1,"Early/On-Time",87,696,"Evening"
2023,4,"Apr",15,2023-04-15,"Sat",7,"B6","JetBlue","B66375","N61352","DCA","SYR",836,791,-5,0,957,914,-3,0,1,"Early/On-Time",81,645,"Early Morning"
2023,5,"May",30,2023-05-30,"Tue",3,"DL","Delta","DL8077","N51534","DCA","BUF",802,805,3,0,936,895,-1,0,1,"Early/On-Time",94,755,"Early Morning"
2019,7,"Jul",20,2019-07-20,"Sat",7,"UA","United","UA8101","N47936","DCA","MCO",1635,1592,-3,0,1780,1738,-2,0,1,"Early/On-Time",105,842,"Afternoon"
2022,11,"Nov",25,2022-11-25,"Fri",6,"AA","American","AA2810","N89865","DCA","ABQ",2222,2181,-1,0,2332,2332,0,0,1,"Early/On-Time",70,563,"Night"
2019,3,"Mar",3,2019-03-03,"Sun",1,"AA","American","AA7482","N15285","DCA","MIA",1352,1355,3,0,1479,1482,3,0,1,"Slightly Late",87,695,"Afternoon"
2022,7,"Jul",16,2022-07-16,"Sat",7,"UA","United","UA4308","N53387","DCA","DTW",1354,1310,-4,0,1481,1439,-2,0,1,"Early/On-Time",87,698,"Afternoon"
2024,7,"Jul",7,2024-07-07,"Sun",1,"NK","Spirit","NK5578","N52607","DCA","LGA",1538,1551,13,0,1588,1604,16,1,0,"Delayed",50,403,"Afternoon"
2022,11,"Nov",6,2022-11-06,"Sun",1,"AA","American","AA4202","N86719","DCA","ROC",1153,1109,-4,0,1211,1153,-18,0,1,"Early/On-Time",58,463,"Morning"
2020,7,"Jul",26,2020-07-26,"Sun",1,"AA","American","AA4195","N33045","DCA","DEN",1847,1848,1,0,2106,2064,-2,0,1,"Early/On-Time",179,1433,"Evening"
2023,11,"Nov",28,2023-11-28,"Tue",3,"UA","United","UA1124","N70687","DCA","DTW",629,588,-1,0,735,740,5,0,1,"Slightly Late",66,531,"Early Morning"
2020,6,"Jun",23,2020-06-23,"Tue",3,"NK","Spirit","NK809","N75517","DCA","CHS",1857,2013,116,1,1961,2115,114,1,0,"Severely Delayed",64,512,"Evening"
2019,1,"Jan",2,2019-01-02,"Wed",4,"F9","Frontier","F97248","N46472","DCA","BDL",637,690,53,1,684,728,44,1,0,"Delayed",47,374,"Early Morning"
2020,11,"Nov",1,2020-11-01,"Sun",1,"B6","JetBlue","B65665","N78473","DCA","CLT",1532,1490,-2,0,1675,1678,3,0,1,"Slightly Late",103,825,"Afternoon"
2022,2,"Feb",24,2022-02-24,"Thu",5,"F9","Frontier","F98479","N75062","DCA","MIA",1347,1302,-5,0,1473,1425,-8,0,1,"Early/On-Time",86,684,"Afternoon"
2021,2,"Feb",9,2021-02-09,"Tue",3,"AA","American","AA9610","N81761","DCA","MSP",1851,1856,5,0,2087,2043,-4,0,1,"Early/On-Time",156,1250,"Evening"
2021,1,"Jan",10,2021-01-10,"Sun",1,"UA","United","UA2608","N95868","DCA","IAH",635,644,9,0,790,806,16,1,0,"Delayed",115,917,"Early Morning"
2021,11,"Nov",1,2021-11-01,"Mon",2,"UA","United","UA4275","N40400","DCA","MCO",814,814,0,0,955,912,-3,0,1,"Early/On-Time",101,806,"Early Morning"
2020,12,"Dec",5,2020-12-05,"Sat",7,"AA","American","AA2393","N52134","DCA","MSP",1515,1471,-4,0,1721,1677,-4,0,1,"Early/On-Time",126,1009,"Afternoon"
